# tracer: function
#
# entries-in-buffer/entries-written: 9051/50520961   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
            nano-11521   [005] ...2. 13597.756700: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756700: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756700: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756700: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756700: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756700: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756700: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756700: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756700: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756700: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756700: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756700: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756700: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756701: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756701: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756701: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756701: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756701: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756701: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756701: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756701: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756701: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756701: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756701: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756701: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756701: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756701: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756701: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756701: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756701: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756701: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756701: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756702: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756702: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756702: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756702: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756702: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756702: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756702: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756702: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756702: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756702: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756702: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756702: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756702: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756702: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756702: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756702: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756702: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756703: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756703: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756703: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756703: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756703: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756703: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756703: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756703: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756703: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756703: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756703: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756703: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756703: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756703: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756703: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756703: folio_memcg_unlock <-page_remove_rmap
